,source_id,map_method,target_id
227,http://purl.obolibrary.org/obo/NCIT_C25330,LOOM,http://www.ebi.ac.uk/efo/EFO_0000433
228,http://purl.obolibrary.org/obo/NCIT_C27440,LOOM,http://www.ebi.ac.uk/efo/EFO_1000272
229,http://purl.obolibrary.org/obo/NCIT_C3752,LOOM,http://www.ebi.ac.uk/efo/EFO_0004986
230,http://purl.obolibrary.org/obo/NCIT_C53553,LOOM,http://www.ebi.ac.uk/efo/EFO_1000143
231,http://purl.obolibrary.org/obo/NCIT_C5619,LOOM,http://www.ebi.ac.uk/efo/EFO_1000502
232,http://purl.obolibrary.org/obo/NCIT_C85064,LOOM,http://www.ebi.ac.uk/efo/EFO_0000694
233,http://purl.obolibrary.org/obo/NCIT_C34835,LOOM,http://www.ebi.ac.uk/efo/EFO_1000390
234,http://purl.obolibrary.org/obo/NCIT_C3758,LOOM,http://www.ebi.ac.uk/efo/EFO_0000762
235,http://purl.obolibrary.org/obo/NCIT_C12803,LOOM,http://www.ebi.ac.uk/efo/EFO_0003077
236,http://purl.obolibrary.org/obo/NCIT_C55805,LOOM,http://www.ebi.ac.uk/efo/EFO_0009850
237,http://purl.obolibrary.org/obo/NCIT_C113168,LOOM,http://www.ebi.ac.uk/efo/EFO_0007319
238,http://purl.obolibrary.org/obo/NCIT_C156767,LOOM,http://www.ebi.ac.uk/efo/EFO_0004193
239,http://purl.obolibrary.org/obo/NCIT_C48668,LOOM,http://www.ebi.ac.uk/efo/EFO_0004019
240,http://purl.obolibrary.org/obo/NCIT_C4615,LOOM,http://www.ebi.ac.uk/efo/EFO_1000120
241,http://purl.obolibrary.org/obo/NCIT_C34918,LOOM,http://www.ebi.ac.uk/efo/EFO_0000649
242,http://purl.obolibrary.org/obo/NCIT_C26736,LOOM,http://www.ebi.ac.uk/efo/EFO_0005846
243,http://purl.obolibrary.org/obo/NCIT_C25209,LOOM,http://www.ebi.ac.uk/efo/EFO_0001444
